City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
252,siverek,37.755,39.3167,7.79,86,100,1.29,TR,1705897055
253,atherton,53.5237,-2.4935,9.38,71,76,5.36,GB,1705897055
254,aykhal,66.0,111.5,-15.03,94,100,6.77,RU,1705897056
255,khlung,12.4547,102.2214,29.18,51,7,1.52,TH,1705897056
256,atafu village,-8.5421,-172.5159,29.78,72,53,4.26,TK,1705897057
257,mambajao,9.2504,124.7156,27.43,77,99,3.26,PH,1705897057
258,iskateley,67.6803,53.1512,-24.43,98,85,2.68,RU,1705897057
259,taguatinga,-12.3857,-46.5711,22.2,92,65,1.27,BR,1705897058
260,tukrah,32.5341,20.5791,13.23,72,90,7.17,LY,1705897058
261,hammerfest,70.6634,23.6821,-5.75,79,75,3.6,NO,1705897058
262,labuan,5.2767,115.2417,30.2,70,20,2.57,MY,1705897060
263,tobruk,32.0836,23.9764,15.11,68,52,8.14,LY,1705897060
264,palmer,42.1584,-72.3287,-5.88,66,6,2.04,US,1705897060
265,ca mau,9.1769,105.15,31.78,44,39,6.35,VN,1705897029
266,aripuana,-9.1667,-60.6333,22.69,91,12,1.1,BR,1705897062
267,eyl,7.9803,49.8164,23.49,72,99,9.0,SO,1705897062
268,uribia,11.7139,-72.266,26.34,77,11,10.1,CO,1705897064
269,sokcho,38.2083,128.5911,-4.66,46,20,5.66,KR,1705897064
270,vilppula,62.0212,24.5048,-0.57,95,100,5.96,FI,1705897064
271,labytnangi,66.6572,66.4183,-10.43,95,100,5.85,RU,1705897065
272,dhaka,23.7104,90.4074,12.99,88,75,2.06,BD,1705896998
273,pacific grove,36.6177,-121.9166,14.12,87,100,0.45,US,1705897066
274,ciudad nueva,-17.9837,-70.2356,18.92,84,96,1.66,PE,1705897066
275,dunedin,-45.8742,170.5036,18.78,81,90,2.68,NZ,1705897028
276,flying fish cove,-10.4217,105.6791,30.82,70,40,3.6,CX,1705897067
277,saynshand,44.8824,110.1163,-22.7,74,8,1.87,MN,1705897067
278,el calafate,-50.3408,-72.2768,12.84,83,52,2.91,AR,1705897067
279,roma,43.2128,-75.4557,-4.95,87,100,1.54,US,1705897068
280,lihue,21.9789,-159.3672,23.58,89,100,4.12,US,1705897068
281,antofagasta,-23.65,-70.4,19.6,79,26,1.82,CL,1705897070
282,sao francisco,-15.9486,-44.8644,23.43,77,80,1.12,BR,1705897070
283,kemijarvi,66.7131,27.4306,-0.86,90,100,5.28,FI,1705897070
284,saranac lake,44.3295,-74.1313,-14.88,84,0,1.54,US,1705897071
285,kelo,9.3086,15.8066,19.46,15,4,2.31,TD,1705897071
286,nogliki,51.8333,143.1667,-23.14,87,35,1.79,RU,1705897072
287,katabu,-4.9333,122.5167,31.71,58,100,3.13,ID,1705897072
288,slonim,53.0867,25.3219,-4.03,86,99,6.85,BY,1705897073
289,kristiansund,63.1115,7.732,7.03,70,100,8.05,NO,1705897074
290,vina del mar,-33.0246,-71.5518,14.71,94,100,2.06,CL,1705897074
